"filename", "language", "JavaScript", "CSS", "Handlebars", "Markdown", "JSON", "pyscript", "comment", "blank", "total"
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\app.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\callbacks.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\carritos.json", "JSON", 0, 0, 0, 0, 24, 0, 0, 0, 24
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\copyproducts.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 17
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\dao\controllers\cartManager.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\dao\controllers\productManager.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 11, 61
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\dao\fileSystem\cart.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\dao\fileSystem\cartManager.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\dao\fileSystem\product.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\dao\fileSystem\productManager.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 11, 98
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\dao\models\cart.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\dao\models\chat.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\dao\models\product.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 3, 44
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\index.html", "pyscript", 0, 0, 0, 0, 0, 20, 0, 0, 20
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\package-lock.json", "JSON", 0, 0, 0, 0, 3018, 0, 0, 1, 3019
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\package.json", "JSON", 0, 0, 0, 0, 30, 0, 0, 1, 31
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\products.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\public\css\realtime.css", "CSS", 0, 155, 0, 0, 0, 0, 0, 38, 193
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\public\css\style.css", "CSS", 0, 109, 0, 0, 0, 0, 0, 26, 135
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\public\js\chat.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\public\js\main.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\public\js\script.js", "JavaScript", 48, 0, 0, 0, 0, 0, 2, 16, 66
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\routes\cartsRoutes.js", "JavaScript", 44, 0, 0, 0, 0, 0, 64, 12, 120
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\routes\chatsRoutes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\routes\homeRoutes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\routes\productsRoutes.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 12, 49
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\routes\realTimeProductsRoutes.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 7, 28
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\static\main.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\static\style.css", "CSS", 0, 106, 0, 0, 0, 0, 0, 25, 131
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\utils.js", "JavaScript", 5, 0, 0, 0, 0, 0, 17, 2, 24
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\views\chat.handlebars", "Handlebars", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\views\home.handlebars", "Handlebars", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\views\layouts\main.handlebars", "Handlebars", 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\LENOVO\Dev\Backend\SegundaPreEntrega\primera_actividad_integradora\views\realTimeProducts.handlebars", "Handlebars", 0, 0, 44, 0, 0, 0, 0, 3, 47
"Total", "-", 636, 370, 76, 1, 3090, 20, 83, 236, 4512